Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2000","2000","tonnes","966640","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2001","2001","tonnes","971494","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2002","2002","tonnes","889431","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2003","2003","tonnes","862959","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2004","2004","tonnes","910676","","Official data"
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","486","Bananas","2005","2005","tonnes","948546","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1993","1993","tonnes","371441","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1994","1994","tonnes","505145","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1995","1995","tonnes","829256","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1996","1996","tonnes","869070","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1997","1997","tonnes","808092","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1998","1998","tonnes","837966","","Official data"
"TP","Crops and livestock products","15","Belgium-Luxembourg","5910","Export Quantity","486","Bananas","1999","1999","tonnes","985141","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1993","1993","tonnes","130147","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1994","1994","tonnes","165300","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1995","1995","tonnes","187294","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1996","1996","tonnes","160192","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1997","1997","tonnes","179698","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1998","1998","tonnes","134000","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","1999","1999","tonnes","165000","*","Unofficial figure"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2000","2000","tonnes","238170","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2001","2001","tonnes","254102","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2002","2002","tonnes","238412","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2003","2003","tonnes","313723","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2004","2004","tonnes","294886","","Official data"
"TP","Crops and livestock products","32","Cameroon","5910","Export Quantity","486","Bananas","2005","2005","tonnes","265457","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1993","1993","tonnes","1580502","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1994","1994","tonnes","1703718","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1995","1995","tonnes","1360278","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1996","1996","tonnes","1476523","","Official data"
"TP","Crops and livestock products","44","Colombia","5910","Export Quantity","486","Bananas","1997","1997","tonnes","1586029","","Official data"
